"","Sales_Rep","Business","Age","Female","Years","College","Certficates","Feedback","Salary","NPS","Diplomat","Explorer","Sentinel","Analyst"
"83",83,0,59,0,2,1,6,2.22,81000,9,0,1,0,0
"84",84,0,25,0,2,1,0,3.77,70000,5,1,0,0,0
"85",85,0,46,0,2,1,2,1.41,63000,4,1,0,0,0
"87",87,0,36,1,1,1,3,3.82,58800,6,0,0,1,0
"89",89,0,60,0,7,1,1,1.94,70000,6,1,0,0,0
"94",94,0,65,1,2,1,1,4,69000,6,0,1,0,0
"95",95,0,24,0,1,1,3,2.15,65000,6,0,1,0,0
"97",97,0,28,0,2,1,3,2.7,55000,4,0,0,1,0
"98",98,0,46,1,1,1,6,3.34,86800,9,0,0,1,0
"99",99,0,40,0,1,0,5,1.95,49000,6,0,0,1,0
"100",100,0,56,1,5,1,4,3.43,71800,8,1,0,0,0
"101",101,0,63,0,2,1,1,2.92,71000,7,1,0,0,0
"102",102,0,37,0,1,1,1,1.33,60000,3,0,1,0,0
"104",104,0,34,1,1,1,4,1.69,75200,7,1,0,0,0
"105",105,0,44,0,1,0,4,1.48,85000,5,0,1,0,0
"106",106,0,56,1,1,1,1,3.17,73800,8,0,1,0,0
"108",108,0,60,1,10,0,0,3.49,60000,4,1,0,0,0
"110",110,0,36,0,1,0,4,4,75000,9,1,0,0,0
"115",115,0,47,1,2,0,5,4,82600,8,0,0,1,0
"118",118,0,51,0,2,1,1,1.84,68000,5,0,1,0,0
"122",122,0,60,0,6,0,4,4,91000,7,0,0,0,1
"123",123,0,52,0,1,0,1,1.14,32000,2,0,0,0,1
"125",125,0,52,0,6,0,4,3.28,59000,5,0,0,0,1
"126",126,0,28,0,3,1,0,3.29,55000,3,0,0,0,1
"128",128,0,38,0,6,1,5,3.93,128000,10,0,0,0,1
"129",129,0,42,1,2,1,4,3.14,80600,7,1,0,0,0
"130",130,0,30,0,7,0,1,2.97,51000,4,0,0,1,0
"132",132,0,32,0,2,1,1,3.61,72000,5,0,1,0,0
"135",135,0,46,0,7,1,1,1.68,74000,5,0,0,1,0
"136",136,0,43,0,6,1,1,1.67,84000,4,1,0,0,0
"138",138,0,25,1,2,0,1,3.33,45000,4,0,1,0,0
"143",143,0,28,0,2,1,1,2.47,39000,4,0,0,0,1
"144",144,0,45,0,1,1,2,2.11,95000,5,1,0,0,0
"145",145,0,56,0,2,1,5,4,137000,9,1,0,0,0
"147",147,0,50,0,5,1,2,1.76,73000,8,0,1,0,0
"153",153,0,27,0,1,1,2,1.44,53000,4,1,0,0,0
"154",154,0,27,0,2,0,0,2.99,31000,4,0,1,0,0
"155",155,0,57,0,1,0,3,3.98,85000,5,0,1,0,0
"163",163,0,52,0,1,1,2,3.02,126000,9,1,0,0,0
"164",164,0,42,0,2,0,2,2.13,67000,5,1,0,0,0
"165",165,0,36,0,1,1,6,3.21,129000,10,1,0,0,0
"175",175,0,61,0,1,1,3,4,96000,9,0,1,0,0
"178",178,0,24,1,2,1,3,3.85,68200,9,0,1,0,0
"181",181,0,39,1,1,1,3,4,104200,7,1,0,0,0
"184",184,0,48,0,10,1,4,4,134000,8,0,1,0,0
"185",185,0,41,0,2,1,1,4,62000,5,0,0,0,1
"188",188,0,35,0,2,1,6,4,90000,8,0,0,0,1
"193",193,0,41,0,2,1,3,2.65,94000,6,0,1,0,0
"194",194,0,32,0,2,1,0,3.38,68000,5,0,1,0,0
"195",195,0,32,0,2,1,1,4,54000,5,0,0,1,0
"197",197,0,40,0,10,0,5,3.82,94000,9,0,1,0,0
"201",201,0,58,0,1,0,4,1.82,62000,6,0,0,1,0
"203",203,0,37,1,6,1,0,4,86600,7,1,0,0,0
"204",204,0,25,0,1,0,5,2.61,48000,6,0,0,0,1
"205",205,0,41,0,1,1,2,3.68,83000,5,0,0,1,0
"206",206,0,33,0,2,1,4,2.66,73000,6,1,0,0,0
"207",207,0,40,0,2,1,4,4,96000,9,0,0,0,1
"209",209,0,48,0,8,1,1,3.02,82000,5,0,0,0,1
"215",215,0,52,0,2,1,2,4,123000,8,1,0,0,0
"216",216,0,62,0,1,1,2,4,111000,7,0,0,1,0
"219",219,0,47,0,5,0,0,4,74000,3,0,0,0,1
"222",222,0,34,1,1,1,6,2.6,94200,8,0,1,0,0
"228",228,0,34,1,4,1,1,1.93,57200,7,1,0,0,0
"231",231,0,55,0,2,1,3,3.29,84000,7,1,0,0,0
"233",233,0,46,0,7,1,6,4,182000,8,0,1,0,0
"234",234,0,54,0,2,1,3,3.52,116000,9,0,1,0,0
"238",238,0,62,0,2,1,1,3.68,84000,6,0,1,0,0
"240",240,0,54,1,9,1,3,2.04,78200,9,1,0,0,0
"241",241,0,48,0,2,1,3,2.56,77000,10,0,1,0,0
"242",242,0,56,0,1,1,4,3.06,105000,6,1,0,0,0
"244",244,0,58,1,4,1,1,1.12,57400,4,0,0,0,1
"246",246,0,42,1,1,1,3,1.4,75600,3,0,1,0,0
"248",248,0,62,0,6,1,5,4,139000,9,0,1,0,0
"249",249,0,32,1,2,1,0,4,68600,5,1,0,0,0
"252",252,0,54,0,1,0,3,2.05,76000,5,1,0,0,0
"253",253,0,34,0,2,1,1,1.61,63000,5,1,0,0,0
"256",256,0,25,0,2,1,6,4,91000,9,0,1,0,0
"257",257,0,32,0,1,0,0,2.85,35000,3,0,1,0,0
"258",258,0,41,0,1,1,1,1.86,58000,5,1,0,0,0
"259",259,0,54,0,4,1,1,3.79,109000,7,0,1,0,0
"262",262,0,45,0,7,1,3,1.43,53000,6,0,0,1,0
"264",264,0,36,1,2,1,0,3.02,65800,3,0,1,0,0
"268",268,0,33,0,2,1,4,2.83,97000,9,0,1,0,0
"271",271,0,43,1,2,1,3,3.4,82400,5,1,0,0,0
"276",276,0,25,0,2,1,4,1.85,73000,9,0,1,0,0
"279",279,0,26,1,2,0,2,3.31,47800,5,0,0,1,0
"282",282,0,40,1,1,1,1,2.32,56000,3,0,0,1,0
"284",284,0,34,1,2,0,1,2.05,37200,2,0,0,1,0
"286",286,0,24,0,7,0,3,1.82,54000,8,0,1,0,0
"287",287,0,58,0,3,0,1,4,76000,5,1,0,0,0
"289",289,0,33,0,1,1,3,3.16,72000,8,1,0,0,0
"291",291,0,36,0,1,1,3,2.11,101000,9,1,0,0,0
"294",294,0,56,1,7,0,1,4,59800,6,1,0,0,0
"296",296,0,52,1,4,1,2,2.94,68600,5,0,1,0,0
"298",298,0,31,0,2,1,6,2.43,79000,10,0,1,0,0
"299",299,0,30,0,2,1,4,1.62,80000,6,0,1,0,0
"300",300,0,46,1,1,0,3,1.96,56800,6,0,1,0,0
"302",302,0,52,0,1,1,2,1.67,65000,4,0,0,1,0
"308",308,0,54,1,3,1,0,3.66,60200,9,1,0,0,0
"310",310,0,25,0,2,0,3,3.73,59000,6,0,0,1,0
"312",312,0,50,1,5,0,0,3.9,67000,7,1,0,0,0
"314",314,0,59,0,1,1,1,3.47,70000,7,0,1,0,0
"315",315,0,35,0,5,1,1,1.25,53000,5,0,1,0,0
"319",319,0,53,0,2,1,4,3.63,65000,3,0,0,0,1
"320",320,0,60,0,1,0,3,2.12,65000,4,0,0,0,1
"326",326,0,49,1,3,1,1,2.76,56200,4,1,0,0,0
"327",327,0,44,0,7,0,4,3.67,107000,8,1,0,0,0
"329",329,0,53,0,1,1,2,2.24,74000,4,0,1,0,0
"330",330,0,48,1,9,1,0,4,72400,3,0,0,1,0
"331",331,0,56,0,2,1,2,3.88,101000,9,0,1,0,0
"332",332,0,47,0,2,0,3,2.57,95000,8,0,1,0,0
"333",333,0,26,1,6,0,5,3.35,59800,7,0,0,1,0
"334",334,0,59,1,1,1,3,2.92,99200,9,1,0,0,0
"335",335,0,33,1,1,1,1,2.44,62400,5,0,1,0,0
"336",336,0,50,1,2,1,2,2.9,88000,9,0,1,0,0
"338",338,0,25,1,1,1,2,2.6,49000,5,0,0,0,1
"339",339,0,26,0,7,1,2,2.46,57000,5,0,1,0,0
"340",340,0,28,0,2,1,1,3.71,85000,9,0,1,0,0
"341",341,0,49,1,1,1,1,3.66,90200,7,1,0,0,0
"344",344,0,64,1,3,1,4,4,102200,9,0,1,0,0
"345",345,0,42,0,1,0,3,1.83,87000,5,0,1,0,0
"346",346,0,38,0,2,1,2,3.22,79000,6,1,0,0,0
"348",348,0,56,0,1,1,1,4,102000,8,0,1,0,0
"350",350,0,30,0,1,1,4,2.61,62000,7,0,1,0,0
"351",351,0,59,0,1,0,2,2.59,57000,3,1,0,0,0
"352",352,0,46,0,7,1,4,2.54,96000,9,0,1,0,0
"353",353,0,45,0,1,1,1,3.63,83000,5,0,1,0,0
"355",355,0,50,0,1,1,4,2.49,84000,7,1,0,0,0
"357",357,0,35,0,1,1,2,3.61,76000,5,0,0,1,0
"358",358,0,32,0,1,1,1,3.21,59000,5,0,1,0,0
"359",359,0,32,0,3,0,2,3.02,70000,6,0,1,0,0
"364",364,0,31,0,5,0,1,1.77,30000,2,0,0,1,0
"365",365,0,44,1,2,1,6,3.58,102200,6,0,0,1,0
"367",367,0,45,1,7,1,2,3.61,43000,3,0,0,1,0
"369",369,0,36,0,1,0,5,2.68,89000,9,1,0,0,0
"370",370,0,43,0,2,1,3,2.72,90000,5,1,0,0,0
"371",371,0,46,0,8,1,0,1.14,68000,7,0,1,0,0
"372",372,0,41,0,2,1,2,4,71000,8,1,0,0,0
"374",374,0,29,1,1,1,3,3.32,79200,9,1,0,0,0
"375",375,0,45,0,2,1,2,2.33,75000,6,1,0,0,0
"378",378,0,30,0,2,1,2,3.25,52000,6,0,0,1,0
"379",379,0,51,0,2,1,4,4,119000,8,0,0,1,0
"382",382,0,33,0,2,0,2,2.07,28000,4,0,0,1,0
"384",384,0,59,1,2,1,2,4,75200,7,0,0,1,0
"386",386,0,40,0,1,1,3,3.46,92000,8,0,1,0,0
"388",388,0,26,0,1,1,1,1.18,50000,4,0,1,0,0
"393",393,0,30,0,1,1,2,1.16,47000,2,0,0,0,1
"397",397,0,28,0,6,0,1,2.75,57000,9,1,0,0,0
"398",398,0,43,0,2,0,6,2.52,105000,8,1,0,0,0
"399",399,0,26,1,1,1,1,1.57,57800,6,0,1,0,0
"402",402,0,59,1,2,1,5,2.09,48200,6,0,0,0,1
"403",403,0,55,0,1,0,4,1.38,98000,8,1,0,0,0
"407",407,0,61,1,1,1,4,4,83800,8,0,1,0,0
"409",409,0,29,0,9,1,0,1.77,57000,4,1,0,0,0
"412",412,0,44,0,1,1,1,3.08,64000,2,1,0,0,0
"415",415,0,59,0,2,0,2,3.48,48000,3,0,1,0,0
"416",416,0,41,1,6,1,5,1.24,103800,10,1,0,0,0
"417",417,0,45,0,2,1,1,1.75,77000,3,0,0,0,1
"418",418,0,62,0,1,1,5,3.31,127000,7,1,0,0,0
"421",421,0,28,0,6,1,5,3.98,101000,9,1,0,0,0
"423",423,0,26,0,2,1,2,2.43,67000,6,0,1,0,0
"425",425,0,65,0,2,1,4,1.43,76000,10,1,0,0,0
"427",427,0,58,0,1,1,0,2.24,66000,5,1,0,0,0
"428",428,0,31,0,1,1,1,1.86,43000,3,0,0,1,0
"429",429,0,53,0,5,1,2,2.24,79000,4,1,0,0,0
"430",430,0,26,1,2,1,3,2.41,49800,4,0,0,0,1
"437",437,0,33,0,5,1,5,3.9,98000,9,0,0,1,0
"439",439,0,42,0,2,1,4,3.3,107000,8,0,0,1,0
"444",444,0,52,0,1,1,2,2.95,87000,6,0,1,0,0
"449",449,0,32,1,1,1,0,1.15,51600,4,1,0,0,0
"451",451,0,28,0,1,1,3,4,88000,10,1,0,0,0
"453",453,0,24,0,2,0,4,2.71,63000,4,0,0,1,0
"455",455,0,63,1,2,1,4,1.3,57400,6,0,1,0,0
"456",456,0,26,1,8,0,1,1.12,44800,5,0,1,0,0
"457",457,0,36,0,2,1,2,2.62,69000,4,0,1,0,0
"461",461,0,55,0,2,1,3,1.3,88000,8,1,0,0,0
"465",465,0,60,0,5,1,5,1.9,70000,10,0,1,0,0
"467",467,0,58,0,3,1,4,3.45,110000,10,1,0,0,0
"471",471,0,61,1,2,1,4,1.95,66800,5,0,0,1,0
"474",474,0,42,1,2,0,0,3.34,54600,7,0,1,0,0
"485",485,0,36,1,2,0,0,2.66,65800,5,1,0,0,0
"486",486,0,48,1,1,1,2,2.81,94400,6,0,1,0,0
"491",491,0,28,0,2,1,0,2.7,34000,3,1,0,0,0
"492",492,0,29,1,1,1,0,4,84200,5,0,1,0,0
"495",495,0,59,1,1,1,0,3.68,51200,6,0,0,1,0
"500",500,0,24,0,2,1,0,1.46,39000,3,0,1,0,0
"505",505,0,49,1,2,1,3,3.93,125200,8,1,0,0,0
"507",507,0,47,1,1,1,5,1.92,81600,8,1,0,0,0
"508",508,0,31,1,4,1,2,1.47,61800,6,1,0,0,0
"510",510,0,64,1,12,0,3,1.67,54200,5,1,0,0,0
"511",511,0,30,0,2,1,1,1.59,67000,6,1,0,0,0
"513",513,0,50,1,1,0,2,3.63,73000,8,1,0,0,0
"514",514,0,54,0,4,0,2,1.4,70000,5,0,1,0,0
"517",517,0,64,0,1,0,3,2.14,51000,3,0,0,0,1
"518",518,0,59,0,2,1,1,2.8,58000,7,0,0,0,1
"520",520,0,55,0,2,1,2,1.59,80000,6,0,1,0,0
"523",523,0,59,0,2,1,2,4,102000,8,1,0,0,0
"525",525,0,33,0,1,1,1,3.7,107000,9,0,1,0,0
"527",527,0,43,0,1,1,2,3,77000,4,1,0,0,0
"534",534,0,53,0,2,1,0,4,53000,6,0,0,0,1
"537",537,0,49,1,1,1,2,1.28,50200,3,0,0,0,1
"539",539,0,49,0,1,1,3,2.84,112000,9,0,1,0,0
"541",541,0,30,0,1,1,5,3.78,87000,9,0,1,0,0
"548",548,0,60,0,12,1,1,2.31,77000,9,0,1,0,0
"549",549,0,58,0,1,1,2,3.16,84000,5,0,0,1,0
"552",552,0,59,0,1,1,0,3.48,69000,6,0,1,0,0
"558",558,0,54,1,1,0,4,2,63200,4,0,1,0,0
"562",562,0,47,0,2,1,1,1.77,69000,5,1,0,0,0
"563",563,0,30,0,1,1,5,3.03,95000,9,0,1,0,0
"565",565,0,42,0,9,1,1,3,65000,6,0,0,1,0
"567",567,0,27,0,10,1,0,4,58000,7,0,0,0,1
"569",569,0,38,0,10,1,2,4,128000,9,1,0,0,0
"570",570,0,27,0,1,1,5,2.2,67000,6,0,1,0,0
"571",571,0,55,0,1,0,2,1.63,63000,5,0,0,1,0
"576",576,0,59,0,2,1,2,2.16,90000,8,0,1,0,0
"578",578,0,43,1,2,1,4,2.17,73400,7,1,0,0,0
"580",580,0,49,0,2,1,3,2.89,86000,6,0,0,1,0
"583",583,0,33,0,2,1,4,2.05,91000,6,1,0,0,0
"588",588,0,25,0,2,0,3,1.66,56000,8,1,0,0,0
"591",591,0,41,1,2,1,2,2.15,67800,4,0,0,1,0
"594",594,0,56,0,4,1,2,2.83,78000,7,0,1,0,0
"596",596,0,44,0,2,1,1,3.14,70000,6,1,0,0,0
"600",600,0,53,0,1,1,2,3.05,110000,6,0,0,1,0
"601",601,0,40,1,2,1,2,1.51,79000,4,0,1,0,0
"602",602,0,47,0,1,0,4,2.41,77000,5,0,1,0,0
"604",604,0,25,1,6,1,2,4,64000,9,1,0,0,0
"605",605,0,26,0,1,1,3,4,59000,8,0,1,0,0
"607",607,0,43,1,2,0,0,2.29,38400,3,0,0,0,1
"613",613,0,52,1,2,1,4,3.23,128600,9,0,1,0,0
"614",614,0,64,0,1,1,2,3.16,66000,6,0,1,0,0
"615",615,0,51,0,2,1,3,1.43,61000,3,0,0,1,0
"618",618,0,58,0,2,1,3,2.59,76000,5,0,1,0,0
"625",625,0,55,0,7,1,1,2.18,74000,4,0,0,1,0
"628",628,0,60,0,2,1,4,1.37,68000,6,0,0,0,1
"630",630,0,44,1,1,1,2,4,83200,10,1,0,0,0
"631",631,0,44,1,2,0,3,2.53,70200,4,1,0,0,0
"632",632,0,41,0,1,0,4,3.06,60000,5,0,0,1,0
"634",634,0,58,0,4,1,1,3.01,45000,2,0,0,1,0
"635",635,0,34,1,5,1,3,3.23,77200,5,0,0,1,0
"636",636,0,46,0,2,1,1,2.56,70000,7,1,0,0,0
"638",638,0,38,0,1,1,6,2.14,71000,5,0,0,0,1
"640",640,0,53,0,2,1,4,3.34,103000,10,1,0,0,0
"641",641,0,50,1,7,1,4,2.9,119000,9,1,0,0,0
"643",643,0,25,0,2,1,5,3.77,55000,8,0,1,0,0
"647",647,0,52,0,4,1,4,2.6,103000,9,0,1,0,0
"649",649,0,42,0,2,1,5,1.33,112000,10,1,0,0,0
"651",651,0,54,0,1,1,2,2.78,98000,5,0,0,1,0
"652",652,0,31,0,2,1,5,2.25,78000,7,1,0,0,0
"658",658,0,49,1,1,1,4,3.22,102200,9,1,0,0,0
"660",660,0,38,0,2,1,5,2.09,120000,9,1,0,0,0
"662",662,0,38,0,1,1,2,4,98000,9,0,1,0,0
"669",669,0,41,1,5,1,1,3.03,62800,9,1,0,0,0
"670",670,0,64,0,1,1,1,1.62,50000,2,0,0,1,0
"671",671,0,58,0,1,1,3,1.9,81000,6,0,1,0,0
"672",672,0,34,1,1,1,2,2.59,55200,4,0,0,0,1
"680",680,0,55,0,2,1,1,1.51,74000,4,0,0,1,0
"682",682,0,46,1,3,1,2,2.9,73800,4,0,1,0,0
"684",684,0,51,1,2,1,1,1.93,87800,8,1,0,0,0
"685",685,0,62,0,8,1,3,2.24,104000,9,1,0,0,0
"686",686,0,30,0,2,0,2,2.99,59000,8,1,0,0,0
"687",687,0,61,0,2,1,1,3.7,85000,7,0,1,0,0
"688",688,0,62,0,2,1,3,1.64,118000,7,0,1,0,0
"696",696,0,44,0,2,0,0,2.76,64000,6,1,0,0,0
"697",697,0,27,0,2,1,3,1.64,60000,5,0,1,0,0
"698",698,0,52,0,2,0,0,1.32,52000,3,1,0,0,0
"699",699,0,65,1,2,1,2,3.99,72000,8,0,1,0,0
"701",701,0,53,0,9,0,4,3.1,46000,5,0,0,0,1
"704",704,0,56,0,2,1,3,1.76,89000,9,0,1,0,0
"705",705,0,38,1,7,1,2,2.48,74400,9,0,1,0,0
"708",708,0,36,0,6,1,1,1.31,66000,7,1,0,0,0
"709",709,0,30,0,1,1,5,1.36,82000,6,0,1,0,0
"710",710,0,35,0,2,1,5,1.88,101000,10,1,0,0,0
"720",720,0,37,0,8,0,3,2.9,60000,8,0,0,1,0
"722",722,0,64,0,2,0,1,2.44,48000,4,1,0,0,0
"724",724,0,35,1,2,0,6,1.52,79000,9,0,1,0,0
"725",725,0,24,0,7,1,2,2.27,63000,6,0,1,0,0
"726",726,0,59,1,1,1,0,1.65,64200,4,0,1,0,0
"728",728,0,51,0,2,1,2,1.87,79000,10,0,1,0,0
"732",732,0,61,0,1,1,2,3.99,94000,7,0,1,0,0
"733",733,0,27,0,1,0,2,2.4,49000,6,0,1,0,0
"734",734,0,56,0,12,1,0,3.17,71000,7,0,1,0,0
"737",737,0,61,0,5,1,4,4,130000,9,0,1,0,0
"742",742,0,38,0,3,1,1,3.48,61000,5,0,0,1,0
"743",743,0,56,0,2,1,1,3.02,43000,4,0,0,1,0
"746",746,0,54,0,1,1,4,2.46,77000,7,0,1,0,0
"748",748,0,34,1,1,1,2,2.63,74200,6,0,1,0,0
"749",749,0,58,0,1,0,2,2.19,69000,4,0,1,0,0
"750",750,0,61,0,2,1,1,2.78,79000,6,1,0,0,0
"751",751,0,51,1,2,0,2,2.09,54800,2,0,0,1,0
"754",754,0,52,1,2,1,4,4,98600,10,0,1,0,0
"755",755,0,51,0,1,1,2,1.57,64000,4,0,1,0,0
"756",756,0,35,0,2,1,2,2.27,58000,8,1,0,0,0
"758",758,0,51,0,1,0,1,1.86,57000,4,0,0,0,1
"759",759,0,42,0,1,1,0,4,79000,3,0,0,1,0
"761",761,0,32,0,1,1,4,2.48,52000,2,0,0,0,1
"762",762,0,31,0,2,1,1,3.81,52000,2,0,1,0,0
"763",763,0,60,1,2,0,3,1.83,67000,3,0,1,0,0
"765",765,0,62,0,7,1,3,1.37,65000,6,0,1,0,0
"766",766,0,32,1,1,1,1,1.71,43600,4,0,1,0,0
"767",767,0,44,0,2,1,1,1.93,64000,7,1,0,0,0
"771",771,0,51,0,8,1,3,2.63,130000,8,1,0,0,0
"772",772,0,37,1,1,1,1,2.54,56600,4,0,1,0,0
"773",773,0,54,0,2,1,3,3.39,122000,7,1,0,0,0
"775",775,0,59,0,1,1,4,2.18,93000,4,0,1,0,0
"776",776,0,32,1,2,1,3,1.57,77600,5,0,1,0,0
"777",777,0,49,1,2,1,1,2.33,95200,5,0,1,0,0
"778",778,0,37,0,1,1,1,1.48,67000,4,1,0,0,0
"779",779,0,61,0,2,1,3,1.98,70000,4,0,0,0,1
"780",780,0,29,0,1,0,0,3.06,55000,3,1,0,0,0
"788",788,0,32,0,1,1,1,2.64,51000,5,0,1,0,0
"790",790,0,40,1,2,1,1,1.51,50000,3,0,0,1,0
"792",792,0,33,1,1,0,2,2.22,56400,4,0,1,0,0
"797",797,0,25,0,4,1,4,2.62,46000,7,0,0,1,0
"798",798,0,54,0,2,1,2,3.44,80000,7,0,1,0,0
"799",799,0,52,0,11,1,1,3.17,106000,7,0,1,0,0
"800",800,0,63,0,10,1,2,2.19,88000,10,1,0,0,0
"802",802,0,52,0,3,1,0,2.38,54000,3,0,0,0,1
"804",804,0,48,0,1,1,2,4,83000,5,0,0,1,0
"805",805,0,44,0,2,0,6,2.12,103000,8,0,1,0,0
"807",807,0,37,0,2,1,1,2.82,98000,5,0,1,0,0
"810",810,0,62,1,10,1,1,2.26,55600,5,1,0,0,0
"811",811,0,33,1,2,1,4,3.96,70400,9,1,0,0,0
"813",813,0,41,1,2,0,3,2.45,62800,5,1,0,0,0
"820",820,0,65,1,5,1,2,3.64,72000,9,0,1,0,0
"821",821,0,41,0,1,1,4,2.15,52000,3,0,0,0,1
"824",824,0,27,0,2,1,2,2.93,52000,5,0,0,0,1
"826",826,0,41,0,1,1,2,3.63,89000,8,1,0,0,0
"827",827,0,28,1,2,1,3,2.82,90400,9,1,0,0,0
"828",828,0,55,0,1,1,1,2.31,99000,5,0,1,0,0
"832",832,0,60,0,1,1,2,2.76,69000,6,0,1,0,0
"835",835,0,42,1,5,0,1,4,79600,7,1,0,0,0
"836",836,0,34,0,1,0,0,2.03,45000,4,0,1,0,0
"837",837,0,43,1,12,1,2,1.3,60400,6,0,0,0,1
"845",845,0,34,0,1,0,0,2.68,55000,5,0,1,0,0
"846",846,0,44,0,6,1,3,1.35,110000,6,1,0,0,0
"853",853,0,60,1,2,0,2,1.61,44000,4,0,1,0,0
"854",854,0,57,0,1,1,2,1.51,60000,7,0,0,1,0
"857",857,0,33,1,2,1,2,3.18,55400,4,1,0,0,0
"859",859,0,63,0,1,0,0,2.42,36000,5,1,0,0,0
"861",861,0,37,1,1,0,6,2.21,97600,5,0,1,0,0
"863",863,0,32,0,2,1,2,1.43,61000,4,0,1,0,0
"869",869,0,41,0,2,1,1,1.58,60000,3,0,0,1,0
"871",871,0,25,0,2,0,1,4,52000,8,0,1,0,0
"873",873,0,61,0,1,1,3,2.7,94000,9,0,1,0,0
"878",878,0,43,0,6,0,3,4,86000,5,0,0,0,1
"880",880,0,27,1,1,0,1,1.99,36600,6,1,0,0,0
"883",883,0,34,0,6,1,0,2.6,52000,4,0,1,0,0
"885",885,0,50,0,2,1,3,4,1e+05,10,1,0,0,0
"889",889,0,60,0,1,1,3,2.81,70000,5,0,1,0,0
"893",893,0,45,1,1,0,1,1.15,52000,3,0,1,0,0
"894",894,0,52,1,2,1,2,1.49,67600,4,0,1,0,0
"898",898,0,34,0,2,1,5,1.24,71000,9,0,1,0,0
"899",899,0,42,0,2,1,2,2.67,75000,5,0,0,0,1
"901",901,0,49,1,1,0,1,3.05,56200,4,0,1,0,0
"902",902,0,49,1,1,1,3,3.41,110200,7,0,1,0,0
"904",904,0,54,1,2,1,3,1.72,73200,7,0,1,0,0
"909",909,0,50,0,4,0,4,4,131000,8,0,1,0,0
"912",912,0,44,0,3,1,3,1.12,101000,5,0,1,0,0
"913",913,0,31,0,1,1,1,2.55,61000,4,0,0,1,0
"915",915,0,45,1,2,1,0,3.5,67000,6,0,1,0,0
"916",916,0,34,1,1,1,2,2.28,59200,5,0,1,0,0
"919",919,0,60,0,7,1,1,3.51,117000,8,1,0,0,0
"921",921,0,62,1,6,1,1,1.57,42600,4,0,0,0,1
"922",922,0,38,1,1,1,5,2.3,69400,9,1,0,0,0
"924",924,0,54,1,1,0,2,1.24,56200,5,1,0,0,0
"926",926,0,64,1,10,0,5,3.04,95200,8,0,1,0,0
"928",928,0,49,1,2,1,3,2.96,81200,10,0,1,0,0
"929",929,0,43,0,1,1,2,1.31,53000,4,0,0,0,1
"930",930,0,24,0,1,1,5,4,90000,8,0,0,1,0
"931",931,0,32,0,2,0,3,1.16,57000,4,1,0,0,0
"936",936,0,59,0,1,0,6,4,145000,9,0,1,0,0
"937",937,0,33,0,3,1,5,3.36,97000,10,1,0,0,0
"939",939,0,42,0,1,1,2,4,94000,6,1,0,0,0
"941",941,0,33,0,1,0,2,2.82,70000,5,1,0,0,0
"942",942,0,31,0,2,1,2,1.65,57000,6,0,0,1,0
